game_no,team,opp,result,location,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,PTS
142,NYK,CHI,W,H,42,89,36,66,6,23,10,16,100
143,MIL,OKC,L,H,29,81,26,63,3,18,18,26,79
144,OKC,MIL,W,H,40,84,31,56,9,28,21,25,110
145,BRK,PHI,W,H,48,75,32,44,16,31,29,33,141
146,PHI,BRK,L,H,43,97,31,59,12,38,20,27,118
147,DAL,SAC,L,H,32,80,20,37,12,43,11,14,87
148,SAC,DAL,W,H,36,81,24,59,12,22,14,17,98
149,MEM,SAS,L,H,35,89,27,64,8,25,11,18,89
150,SAS,MEM,W,H,35,80,24,59,11,21,14,18,95
151,POR,UTA,L,H,33,83,27,57,6,26,15,17,87
152,UTA,POR,W,H,39,74,26,51,13,23,15,19,106
153,CHO,WAS,L,H,40,79,28,45,12,34,19,22,111
154,WAS,CHO,W,H,43,85,26,51,17,34,15,18,118
155,MIN,POR,W,H,41,84,37,75,4,9,24,28,110
156,POR,MIN,L,H,38,86,27,54,11,32,22,25,109
157,ATL,BRK,L,H,30,80,23,56,7,24,15,23,82
158,BRK,ATL,W,H,32,82,22,49,10,33,17,20,91
159,CLE,IND,W,H,47,95,29,52,18,43,23,33,135
160,IND,CLE,L,H,48,105,32,64,16,41,18,20,130
161,GSW,WAS,W,H,50,88,34,52,16,36,23,26,139
162,WAS,GSW,L,H,43,92,33,65,10,27,19,25,115
163,LAL,MEM,W,H,40,85,33,66,7,19,21,27,108
164,MEM,LAL,L,H,40,80,27,50,13,30,10,14,103
165,DEN,MIA,W,H,44,87,39,67,5,20,23,27,116
166,MIA,DEN,L,H,42,87,29,60,13,27,16,21,113
167,DAL,MIL,W,H,38,73,24,37,14,36,19,20,109
168,MIL,DAL,L,H,39,77,27,43,12,34,15,18,105
169,CHI,NOP,W,H,45,92,32,66,13,26,14,18,117
170,NOP,CHI,L,H,33,81,23,51,10,30,34,35,110
171,BOS,NYK,W,H,40,72,28,35,12,37,18,26,110
172,NYK,BOS,L,H,33,85,26,60,7,25,21,25,94
173,CHO,OKC,W,H,37,77,26,47,11,30,28,32,113
174,OKC,CHO,L,H,39,84,27,53,12,31,11,12,101
175,HOU,PHO,W,H,47,100,33,62,14,38,15,23,123
176,PHO,HOU,L,H,42,100,34,66,8,34,24,29,116
177,SAS,UTA,W,H,40,77,30,58,10,19,19,22,109
178,UTA,SAS,L,H,43,89,34,65,9,24,8,13,103
179,PHI,TOR,L,H,36,80,25,44,11,36,22,25,105
180,TOR,PHI,W,H,46,85,40,66,6,19,15,19,113
181,BRK,ORL,W,H,50,94,42,63,8,31,13,16,121
182,ORL,BRK,L,H,45,91,35,66,10,25,11,15,111
183,ATL,CHI,L,H,40,90,29,62,11,28,13,17,104
184,CHI,ATL,W,H,40,85,28,55,12,30,14,14,106
185,LAC,LAL,W,H,38,69,27,44,11,25,28,34,115
186,LAL,LAC,L,H,39,90,33,67,6,23,20,30,104
187,MIN,SAC,L,H,39,87,30,60,9,27,30,38,117
188,SAC,MIN,W,H,44,78,33,59,11,19,24,33,123
189,PHO,POR,L,H,44,84,41,74,3,10,26,32,117
190,POR,PHO,W,H,43,92,28,55,15,37,29,31,130
191,BOS,ORL,W,H,38,84,26,51,12,33,29,34,117
192,ORL,BOS,L,H,40,98,28,68,12,30,24,25,116
193,CHO,DEN,W,H,40,86,23,50,17,36,25,30,122
194,DEN,CHO,L,H,45,90,29,57,16,33,8,11,114
195,CLE,PHI,W,H,50,95,37,66,13,29,9,16,122
196,PHI,CLE,L,H,40,82,29,49,11,33,14,19,105
197,GSW,HOU,W,H,43,95,32,63,11,32,10,14,107
198,HOU,GSW,L,H,34,91,22,54,12,37,18,23,98
199,DAL,MEM,L,H,29,76,17,42,12,34,20,25,90
200,MEM,DAL,W,H,35,75,24,48,11,27,18,20,99
201,MIA,NYK,L,H,34,83,26,50,8,33,18,25,94
202,NYK,MIA,W,H,38,80,32,64,6,16,16,17,98
203,DET,MIL,L,H,44,97,37,67,7,30,10,16,105
204,MIL,DET,W,H,35,84,21,48,14,36,24,34,108
205,NOP,SAC,W,H,46,95,36,62,10,33,15,19,117
206,SAC,NOP,L,H,35,90,29,70,6,20,13,17,89
207,OKC,SAS,L,H,33,81,27,60,6,21,23,27,95
208,SAS,OKC,W,H,37,85,28,58,9,27,17,27,100
209,IND,TOR,L,H,36,87,25,61,11,26,17,21,100
210,TOR,IND,W,H,37,82,23,55,14,27,23,35,111
211,UTA,WAS,W,H,33,72,23,47,10,25,19,31,95
212,WAS,UTA,L,H,35,87,30,70,5,17,13,16,88
213,CHI,CLE,W,H,38,90,26,65,12,25,11,18,99
214,CLE,CHI,L,H,37,83,27,56,10,27,9,16,93
215,BRK,DET,L,H,35,92,25,61,10,31,9,12,89
216,DET,BRK,W,H,36,86,29,68,7,18,11,17,90
217,LAL,MIN,L,H,40,84,31,57,9,27,15,16,104
218,MIN,LAL,W,H,43,89,33,68,10,21,23,30,119
219,LAC,PHO,W,H,44,80,32,58,12,22,24,34,124
220,PHO,LAC,L,H,49,92,42,69,7,23,13,24,118
221,HOU,POR,L,H,40,91,32,57,8,34,19,23,107
222,POR,HOU,W,H,43,90,30,57,13,33,18,22,117
223,BOS,MIL,L,H,35,88,23,51,12,37,18,23,100
224,MIL,BOS,W,H,41,78,33,56,8,22,13,17,103
225,LAC,WAS,W,H,47,83,35,53,12,30,27,37,133
226,WAS,LAC,L,H,46,93,33,59,13,34,19,29,124
227,IND,MEM,L,H,37,85,27,60,10,25,13,15,97
228,MEM,IND,W,H,41,88,29,56,12,32,16,18,110
229,DAL,NOP,L,H,44,91,30,64,14,27,16,17,118
230,NOP,DAL,W,H,42,84,30,54,12,30,25,33,121
231,MIA,NYK,W,H,40,84,28,59,12,25,13,17,105
232,NYK,MIA,L,H,33,89,28,64,5,25,17,21,88
233,OKC,ORL,W,H,43,102,33,69,10,33,18,28,114
234,ORL,OKC,L,H,39,97,30,67,9,30,19,27,106
235,ATL,PHI,W,H,34,80,25,62,9,18,22,26,99
236,PHI,ATL,L,H,36,87,25,48,11,39,9,11,92
237,SAC,UTA,L,H,34,75,32,60,2,15,12,18,82
238,UTA,SAC,W,H,42,79,29,48,13,31,15,19,112
239,GSW,SAS,W,H,43,85,30,59,13,26,11,11,110
240,SAS,GSW,L,H,34,83,25,59,9,24,21,26,98
241,CHO,TOR,W,H,39,86,23,54,16,32,16,21,110
242,TOR,CHO,L,H,38,83,27,52,11,31,19,24,106
243,ATL,PHO,W,H,34,85,28,58,6,27,21,29,95
244,PHO,ATL,L,H,35,96,28,65,7,31,14,24,91
245,BRK,PHI,L,H,38,94,29,62,9,32,16,24,101
246,PHI,BRK,W,H,39,91,29,58,10,33,18,21,106
247,CHO,MIL,L,H,39,80,32,52,7,28,23,29,108
248,MIL,CHO,W,H,46,74,32,44,14,30,12,17,118
